地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1965/09/21,23:39:41.6,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,23:13:11.2,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,21:31:00.0,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,20:57:07.5,長野県北部,36°31.9′N,138°12.5′E,4 km,不明,震度２
1965/09/21,20:18:29.2,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,14:20,詳細不明,32°13.0′N,130°45.0′E,0 km,不明,震度１
1965/09/21,10:38:31.2,奄美大島北西沖,28°42.8′N,128°32.2′E,182 km,6.2,震度３
1965/09/21,09:29:52.6,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,08:55:58.8,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,06:50:56.2,青森県東方沖,40°56.2′N,142°10.6′E,73 km,3.8,震度１
1965/09/21,06:25:45.3,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
1965/09/21,05:04:16.0,詳細不明,36°33.0′N,138°12.0′E,0 km,不明,震度１
