地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1991/12/31,08:38:21.1,栃木県南部,36°44.0′N,140°13.3′E,79 km,4.4,震度２
1991/12/31,01:58:24.7,神奈川県東部,35°19.2′N,139°37.3′E,106 km,3.2,震度１
1991/12/30,20:02:21.3,和歌山県北部,34°12.0′N,135°10.9′E,7 km,2.2,震度１
1991/12/30,10:50:05.0,岡山県北部,35°09.4′N,134°18.0′E,14 km,3.5,震度２
1991/12/28,10:41,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/12/27,05:52:25.9,茨城県北部,36°23.2′N,140°36.7′E,51 km,3.2,震度２
1991/12/27,00:13,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/12/26,04:17:47.6,伊豆半島東方沖,34°56.1′N,139°10.9′E,10 km,2.7,震度１
1991/12/26,02:38:28.2,伊豆半島東方沖,34°55.9′N,139°10.5′E,9 km,2.6,震度１
1991/12/26,02:22:19.8,伊豆半島東方沖,34°55.4′N,139°09.7′E,8 km,2.5,震度１
1991/12/24,05:02:38.2,岩手県沖,39°55.6′N,142°21.2′E,56 km,4.8,震度２
1991/12/22,18:02,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度２
1991/12/22,17:43:02.4,千島列島,45°45.3′N,152°23.4′E,10 km,6.8,震度２
1991/12/22,16:57:30.9,青森県東方沖,40°35.5′N,142°21.5′E,51 km,3.6,震度１
1991/12/20,23:05:38.1,根室半島南東沖,43°11.3′N,145°39.4′E,93 km,4.2,震度２
1991/12/19,12:50,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/12/19,10:33:39.4,千島列島,45°15.3′N,151°37.1′E,30 km,6.4,震度１
1991/12/18,23:07:57.0,八丈島東方沖,33°19.6′N,141°01.4′E,50 km,4.5,震度１
1991/12/18,14:08:24.6,日高地方東部,42°16.2′N,143°01.9′E,65 km,4.1,震度２
1991/12/17,13:23:05.1,根室半島南東沖,43°08.3′N,145°34.5′E,50 km,5.1,震度３
1991/12/16,09:43:23.9,石垣島近海,24°42.6′N,123°46.4′E,40 km,2.4,震度２
1991/12/16,07:30:09.6,伊勢湾,34°56.4′N,136°42.9′E,19 km,3.3,震度２
1991/12/15,22:02:55.3,石垣島近海,24°47.0′N,123°40.7′E,0 km,3.7,震度２
1991/12/15,17:26:11.8,八丈島東方沖,33°27.6′N,141°01.1′E,44 km,3.6,震度１
1991/12/15,13:03:07.6,与那国島近海,24°09.3′N,122°39.6′E,63 km,不明,震度１
1991/12/15,11:45:09.6,若狭湾,35°41.3′N,135°58.6′E,4 km,2.3,震度１
1991/12/14,04:55:03.3,千島列島,45°21.2′N,151°42.5′E,0 km,6.3,震度１
1991/12/14,03:59:06.3,千島列島,45°29.7′N,151°43.4′E,0 km,6.3,震度１
1991/12/13,12:02:03.0,釧路沖,42°47.4′N,144°16.9′E,102 km,3.7,震度１
1991/12/13,11:33:48.8,千島列島,45°31.8′N,151°53.4′E,0 km,6.3,震度１
1991/12/13,03:25:10.3,大阪府北部,34°57.2′N,135°36.1′E,15 km,2.6,震度１
1991/12/12,20:49:55.2,栃木県北部,36°40.4′N,139°30.5′E,8 km,3.1,震度２
1991/12/12,20:01:38.9,青森県東方沖,41°35.3′N,142°56.6′E,36 km,3.7,震度１
1991/12/12,18:06:34.2,茨城県沖,36°25.9′N,140°39.1′E,54 km,3.1,震度１
1991/12/12,11:27:46.1,茨城県沖,36°27.9′N,140°39.5′E,48 km,4.8,震度４
1991/12/11,06:07:38.9,福島県沖,37°07.7′N,141°26.2′E,56 km,4.3,震度１
1991/12/10,18:38:12.7,伊予灘,33°27.7′N,132°00.3′E,53 km,4.3,震度２
1991/12/10,18:28:15.0,青森県東方沖,40°56.8′N,141°57.0′E,62 km,3.7,震度１
1991/12/09,06:49:46.5,千葉県北西部,36°05.6′N,139°47.6′E,57 km,3.8,震度１
1991/12/08,11:45:22.4,大隅半島東方沖,31°17.4′N,132°01.6′E,47 km,4.2,震度１
1991/12/07,10:11:49.7,奈良県,34°05.1′N,135°39.7′E,54 km,3.2,震度１
1991/12/04,23:08,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/12/04,21:28,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度２
1991/12/04,18:13,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/12/04,08:49:36.1,青森県西方沖,40°35.9′N,139°51.2′E,10 km,3.0,震度１
1991/12/04,05:24:29.6,千葉県北西部,35°41.1′N,139°57.4′E,71 km,4.0,震度１
1991/12/03,16:19,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/12/02,04:33:52.7,茨城県南部,36°12.5′N,140°01.5′E,57 km,3.0,震度１
1991/12/01,17:00:58.6,宮城県沖,38°29.9′N,142°20.9′E,37 km,3.5,震度１
1991/12/01,13:54:31.9,茨城県沖,36°37.9′N,141°01.9′E,52 km,3.5,震度１
1991/11/30,03:23,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/11/29,00:27:45.6,茨城県南部,35°58.3′N,140°10.8′E,78 km,4.3,震度２
1991/11/28,22:20:08.2,根室半島南東沖,43°31.6′N,146°08.0′E,74 km,3.1,震度１
1991/11/28,06:07,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1991/11/27,23:10:58.7,浦河沖,42°00.3′N,142°40.6′E,54 km,3.7,震度１
1991/11/27,07:07:53.0,和歌山県北部,34°15.1′N,135°13.4′E,8 km,3.2,震度２
1991/11/27,04:40:48.9,浦河沖,42°00.0′N,142°39.7′E,64 km,6.3,震度４
1991/11/27,02:09,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度２
1991/11/26,21:37,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度１
1991/11/25,16:32:45.0,千葉県東方沖,35°33.1′N,141°11.2′E,35 km,4.2,震度１
1991/11/25,12:36:43.6,奄美大島近海,28°15.3′N,129°41.0′E,8 km,不明,震度３
1991/11/25,09:57:14.3,西表島付近,24°17.2′N,123°43.0′E,10 km,2.2,震度２
1991/11/25,02:59,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度２
1991/11/24,21:07:00.1,埼玉県北部,36°04.1′N,139°14.7′E,21 km,4.0,震度３
1991/11/24,05:00:52.9,宮古島近海,25°09.4′N,125°07.2′E,21 km,3.6,震度３
1991/11/24,02:11:32.8,釧路沖,42°39.1′N,144°29.1′E,85 km,3.4,震度１
1991/11/23,20:11:38.3,青森県東方沖,40°49.4′N,142°14.5′E,58 km,3.4,震度１
1991/11/21,19:39:30.6,浦河沖,41°55.8′N,142°25.6′E,67 km,4.3,震度２
1991/11/21,18:19:52.6,西表島付近,24°23.2′N,123°39.5′E,51 km,不明,震度２
1991/11/19,17:24:02.6,東京湾,35°36.5′N,140°01.3′E,81 km,4.9,震度４
1991/11/19,05:07:52.9,国後島付近,43°41.4′N,145°40.7′E,132 km,4.0,震度１
