地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/08/07,00:00:15.2,関東東方沖,34°46.4′N,141°27.1′E,0 km,1.4,---
2024/08/07,00:00:30.3,十勝地方中部,42°59.5′N,143°43.4′E,118 km,1.0,---
2024/08/07,00:00:39.5,釧路沖,42°43.6′N,145°26.4′E,29 km,1.1,---
2024/08/07,00:01:47.7,和歌山県北部,34°01.9′N,135°14.9′E,5 km,0.4,---
2024/08/07,00:08:55.2,石川県能登地方,37°20.8′N,136°55.1′E,11 km,0.8,---
2024/08/07,00:09:46.4,石川県能登地方,37°25.7′N,137°08.0′E,2 km,0.4,---
2024/08/07,00:10:18.7,山梨県中・西部,35°49.8′N,138°13.0′E,5 km,0.9,---
2024/08/07,00:10:38.9,福島県沖,37°24.4′N,141°55.5′E,36 km,0.9,---
2024/08/07,00:16:38.0,徳島県北部,34°00.8′N,134°22.2′E,5 km,1.1,---
2024/08/07,00:17:09.1,石川県能登地方,37°11.3′N,136°47.3′E,6 km,0.4,---
2024/08/07,00:17:31.1,宮城県沖,38°20.1′N,142°08.6′E,36 km,0.8,---
2024/08/07,00:18:30.8,石川県能登地方,37°17.9′N,136°53.4′E,12 km,0.8,---
2024/08/07,00:26:27.3,石川県能登地方,37°19.7′N,136°52.2′E,12 km,-0.4,---
2024/08/07,00:26:31.7,富山県西部,36°47.6′N,136°52.1′E,8 km,-0.1,---
2024/08/07,00:27:24.6,能登半島沖,37°25.9′N,136°54.1′E,10 km,0.2,---
2024/08/07,00:27:34.7,福島県沖,37°24.4′N,141°54.9′E,35 km,1.2,---
2024/08/07,00:28:14.6,青森県西方沖,40°45.8′N,139°17.6′E,12 km,1.5,---
2024/08/07,00:31:47.8,福島県沖,37°29.2′N,143°31.5′E,12 km,1.1,---
2024/08/07,00:33:02.9,福島県沖,37°50.4′N,141°37.2′E,48 km,1.3,---
2024/08/07,00:34:35.7,青森県下北地方,41°17.2′N,141°16.5′E,92 km,1.0,---
2024/08/07,00:35:31.5,奄美大島北東沖,29°46.9′N,130°36.0′E,35 km,0.5,---
2024/08/07,00:35:52.0,能登半島沖,37°18.7′N,136°43.2′E,7 km,-0.3,---
2024/08/07,00:36:19.2,福島県沖,37°17.9′N,141°51.9′E,37 km,1.1,---
2024/08/07,00:37:43.5,与那国島近海,24°41.3′N,122°59.3′E,38 km,1.3,---
2024/08/07,00:41:14.1,熊本県熊本地方,32°38.9′N,130°40.9′E,11 km,-0.2,---
2024/08/07,00:45:59.3,日向灘,31°43.4′N,131°42.8′E,15 km,0.0,---
2024/08/07,00:46:01.0,茨城県沖,36°29.9′N,141°07.0′E,34 km,1.0,---
2024/08/07,00:47:50.9,周防灘,33°59.4′N,131°50.4′E,17 km,0.1,---
2024/08/07,00:54:43.6,福島県沖,37°48.9′N,141°38.7′E,56 km,0.8,---
2024/08/07,00:55:09.8,東京湾,35°29.7′N,139°53.0′E,22 km,0.7,---
2024/08/07,00:56:57.7,石川県能登地方,37°26.5′N,137°10.7′E,15 km,不明,---
2024/08/07,01:00:07.1,福島県沖,37°29.3′N,141°24.9′E,34 km,1.1,---
2024/08/07,01:00:10.2,東京都２３区,35°39.0′N,139°36.6′E,90 km,0.8,---
2024/08/07,01:01:40.5,千葉県南東沖,34°54.6′N,139°51.5′E,100 km,1.0,---
2024/08/07,01:03:26.1,群馬県北部,36°38.5′N,139°18.9′E,4 km,-0.7,---
2024/08/07,01:05:25.9,鹿児島県薩摩地方,31°58.3′N,130°47.7′E,0 km,0.0,---
2024/08/07,01:06:00.2,福島県会津,37°15.8′N,139°57.4′E,6 km,0.0,---
2024/08/07,01:06:23.6,福島県沖,37°36.8′N,144°42.9′E,35 km,1.3,---
2024/08/07,01:06:43.0,青森県西方沖,41°20.5′N,139°11.0′E,20 km,1.0,---
2024/08/07,01:15:01.1,石川県能登地方,37°13.0′N,136°48.4′E,11 km,0.0,---
2024/08/07,01:17:12.4,岩手県内陸北部,39°49.3′N,140°50.0′E,1 km,0.4,---
2024/08/07,01:18:38.0,岩手県沖,40°03.6′N,141°52.3′E,11 km,0.7,---
2024/08/07,01:20:36.4,伊豆半島東方沖,34°54.8′N,139°16.5′E,8 km,-0.1,---
2024/08/07,01:22:58.1,三陸沖,39°26.3′N,143°21.7′E,12 km,1.0,---
2024/08/07,01:24:10.6,四国沖,32°22.8′N,134°59.7′E,46 km,1.9,---
2024/08/07,01:26:24.1,紀伊水道,33°51.3′N,134°57.7′E,11 km,0.2,---
2024/08/07,01:26:27.9,福島県沖,37°20.0′N,141°35.5′E,10 km,1.3,---
2024/08/07,01:28:00.2,日向灘,32°00.9′N,131°42.7′E,34 km,0.3,---
2024/08/07,01:28:53.2,岩手県沖,39°25.6′N,142°30.8′E,33 km,2.2,---
2024/08/07,01:29:22.0,石川県能登地方,37°11.6′N,136°48.8′E,10 km,0.3,---
2024/08/07,01:31:47.0,茨城県南部,36°04.4′N,140°05.9′E,61 km,0.5,---
2024/08/07,01:32:03.5,福島県沖,37°09.4′N,142°11.4′E,17 km,1.3,---
2024/08/07,01:33:39.3,薩摩半島西方沖,31°15.4′N,129°49.7′E,4 km,0.6,---
2024/08/07,01:34:06.6,能登半島沖,37°35.9′N,137°17.3′E,11 km,0.7,---
2024/08/07,01:37:30.0,日向灘,32°04.5′N,132°08.4′E,21 km,1.1,---
2024/08/07,01:37:43.3,石川県能登地方,37°27.9′N,137°19.6′E,14 km,0.5,---
2024/08/07,01:38:27.0,静岡県中部,34°57.8′N,138°11.2′E,24 km,0.1,---
2024/08/07,01:42:33.8,長野県中部,36°01.7′N,138°04.4′E,8 km,0.0,---
2024/08/07,01:43:58.9,岐阜県飛騨地方,36°00.0′N,137°26.1′E,6 km,0.7,---
2024/08/07,01:47:35.6,沖縄本島北西沖,26°36.3′N,126°42.4′E,85 km,2.4,---
2024/08/07,01:48:40.8,福島県沖,37°49.8′N,141°36.5′E,47 km,0.7,---
2024/08/07,01:49:11.8,和歌山県北部,33°57.0′N,135°13.7′E,11 km,-0.3,---
2024/08/07,01:56:12.7,青森県津軽南部,40°30.8′N,140°49.4′E,6 km,1.3,---
2024/08/07,01:57:18.4,秋田県内陸北部,40°02.1′N,140°32.4′E,6 km,0.1,---
2024/08/07,01:57:35.4,秋田県内陸北部,40°01.9′N,140°32.4′E,4 km,0.2,---
2024/08/07,02:01:38.4,岩手県内陸北部,39°49.8′N,140°49.4′E,0 km,0.7,---
2024/08/07,02:04:41.5,与那国島近海,24°57.8′N,122°54.1′E,19 km,2.1,---
2024/08/07,02:06:05.9,滋賀県北部,35°22.2′N,135°56.1′E,10 km,0.6,---
2024/08/07,02:09:20.8,秋田県内陸北部,40°03.8′N,140°31.6′E,9 km,0.3,---
2024/08/07,02:12:35.3,与那国島近海,24°49.1′N,122°59.0′E,25 km,1.4,---
2024/08/07,02:12:39.2,有明海,32°59.3′N,130°25.0′E,9 km,0.3,---
2024/08/07,02:12:40.3,福島県沖,37°31.2′N,142°15.4′E,26 km,0.7,---
2024/08/07,02:13:07.7,福島県沖,37°11.4′N,143°03.2′E,13 km,3.0,---
2024/08/07,02:14:41.2,福島県沖,37°01.2′N,141°39.0′E,36 km,1.2,---
2024/08/07,02:14:44.9,和歌山県南方沖,33°23.5′N,135°50.0′E,17 km,0.6,---
2024/08/07,02:14:48.2,和歌山県北部,34°07.4′N,135°11.9′E,5 km,-0.1,---
2024/08/07,02:15:00.3,福島県沖,37°04.3′N,142°28.3′E,15 km,2.9,---
2024/08/07,02:17:28.4,茨城県沖,36°29.6′N,141°09.4′E,36 km,1.3,---
