地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/01/10,00:05:09.5,宮城県沖,37°55.5′N,141°44.7′E,54 km,0.9,---
2025/01/10,00:11:25.8,石垣島北西沖,25°0.3′N,123°37.7′E,27 km,2,---
2025/01/10,00:13:04.7,能登半島沖,37°31.9′N,137°14.2′E,10 km,1.5,---
2025/01/10,00:18:00.3,北海道南西沖,42°20.9′N,139°16.2′E,14 km,2,---
2025/01/10,00:20:16.8,石川県西方沖,36°59.1′N,136°23.4′E,14 km,1.7,---
2025/01/10,00:24:32.2,石川県西方沖,36°54.8′N,136°22.8′E,12 km,1.5,---
2025/01/10,00:31:16.4,愛媛県南予,33°8.4′N,132°30.9′E,33 km,0.9,---
2025/01/10,00:32:19.9,青森県東方沖,41°8.2′N,143°10.4′E,26 km,2,---
2025/01/10,00:32:38.4,福島県沖,37°10.7′N,141°22.2′E,10 km,1.8,---
2025/01/10,00:37:30.9,福島県沖,37°9.5′N,142°10.8′E,18 km,1.4,---
2025/01/10,00:41:26.7,石川県能登地方,37°10.7′N,136°52.5′E,9 km,0.9,---
2025/01/10,00:51:18.5,岩手県沖,39°38.8′N,142°7.0′E,47 km,0.5,---
2025/01/10,00:52:02.6,福島県沖,37°20.1′N,141°50.5′E,38 km,1.1,---
2025/01/10,00:53:11.2,宮城県南部,37°57.3′N,140°39.0′E,91 km,1.2,---
2025/01/10,00:57:14.0,関東東方沖,35°44.5′N,143°58.4′E,49 km,4.5,---
2025/01/10,00:59:05.3,長野県南部,35°53.7′N,137°37.6′E,7 km,0.9,---
2025/01/10,01:01:12.6,石川県西方沖,36°54.7′N,136°22.5′E,10 km,1.5,---
2025/01/10,01:01:16.0,栃木県北部,37°7.5′N,139°56.0′E,2 km,-1,---
2025/01/10,01:01:16.9,栃木県北部,37°7.6′N,139°56.1′E,2 km,1,---
2025/01/10,01:05:55.8,熊本県熊本地方,32°41.9′N,130°43.4′E,14 km,0.7,---
2025/01/10,01:06:27.4,長野県中部,36°14.9′N,137°48.6′E,5 km,-10.2,---
2025/01/10,01:16:05.6,三陸沖,39°23.8′N,143°32.9′E,10 km,1.6,---
2025/01/10,01:17:01.1,福島県中通り,37°17.8′N,140°34.0′E,80 km,1.5,---
2025/01/10,01:17:56.9,能登半島沖,37°32.6′N,137°11.9′E,10 km,1.2,---
2025/01/10,01:18:09.6,福島県沖,37°23.1′N,141°47.5′E,39 km,1.4,---
2025/01/10,01:21:08.4,熊本県熊本地方,32°39.0′N,130°41.2′E,11 km,0.5,---
2025/01/10,01:22:22.1,橘湾,32°36.8′N,129°53.6′E,12 km,1.2,---
2025/01/10,01:26:04.3,日向灘,32°8.4′N,132°7.7′E,22 km,4.2,---
2025/01/10,01:27:54.3,日向灘,32°8.8′N,132°6.4′E,15 km,2.4,---
2025/01/10,01:32:28.8,薩摩半島西方沖,31°0.2′N,130°21.5′E,131 km,1.9,---
2025/01/10,01:33:25.8,福島県沖,37°51.1′N,141°32.8′E,45 km,1.1,---
2025/01/10,01:35:38.7,福島県沖,37°28.3′N,141°56.2′E,44 km,1,---
2025/01/10,01:38:46.0,和歌山県北部,34°6.3′N,135°12.7′E,7 km,0.3,---
2025/01/10,01:39:24.9,熊本県熊本地方,32°34.7′N,130°41.8′E,15 km,0.7,---
2025/01/10,01:41:29.0,福岡県筑後地方,33°2.2′N,130°30.0′E,8 km,0.3,---
2025/01/10,01:44:35.2,三陸沖,40°51.5′N,145°6.2′E,26 km,2.6,---
2025/01/10,01:50:59.5,兵庫県南東部,34°43.8′N,135°11.0′E,10 km,0.3,---
2025/01/10,01:59:38.9,日向灘,32°7.5′N,132°6.4′E,11 km,1.5,---
2025/01/10,02:01:05.4,静岡県中部,34°52.2′N,138°7.7′E,23 km,1.2,---
2025/01/10,02:08:12.3,熊本県熊本地方,32°38.3′N,130°41.9′E,6 km,0.6,---
2025/01/10,02:11:05.1,紀伊水道,34°7.4′N,135°7.8′E,7 km,0.5,---
2025/01/10,02:11:38.2,日向灘,32°32.2′N,132°6.2′E,28 km,1.5,---
2025/01/10,02:12:34.5,福島県沖,37°38.7′N,141°37.4′E,55 km,1.7,---
2025/01/10,02:12:53.2,和歌山県北部,33°55.7′N,135°19.4′E,7 km,0.5,---
2025/01/10,02:19:27.2,山梨県東部・富士五湖,35°35.0′N,139°4.8′E,147 km,2.7,---
2025/01/10,02:21:39.4,有明海,32°46.9′N,130°31.7′E,9 km,1.1,---
2025/01/10,02:24:15.2,福島県沖,37°49.9′N,141°37.2′E,48 km,1.3,---
2025/01/10,02:25:44.2,三陸沖,37°54.8′N,144°50.1′E,29 km,1.9,---
2025/01/10,02:28:19.6,日向灘,32°9.2′N,132°5.7′E,23 km,0.9,---
2025/01/10,02:36:04.0,福島県沖,36°55.2′N,141°3.2′E,48 km,1.9,---
2025/01/10,02:40:29.0,有明海,32°45.4′N,130°31.0′E,10 km,0.6,---
2025/01/10,02:41:11.5,熊本県天草・芦北地方,32°31.8′N,130°33.3′E,8 km,0.8,---
2025/01/10,02:43:35.4,奄美大島近海,27°59.6′N,130°39.6′E,60 km,2.6,---
2025/01/10,02:44:08.7,福島県沖,37°2.1′N,141°47.5′E,69 km,1.1,---
2025/01/10,02:45:10.8,日向灘,31°55.1′N,132°2.3′E,40 km,1.1,---
