地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/02/11 00:01:12.7,石川県能登地方,37.335,136.79666666666665,6,0.7,-
2025/02/11 00:02:19.9,宮崎県北部平野部,32.22,131.55166666666668,13,0.5,-
2025/02/11 00:02:30.5,兵庫県南東部,35.18666666666667,135.09833333333333,13,0.5,-
2025/02/11 00:03:23.2,青森県東方沖,41.056666666666665,142.04833333333335,59,1.4,-
2025/02/11 00:04:20.0,国後島付近,43.53333333333333,145.42333333333335,87,1,-
2025/02/11 00:04:55.1,新潟県上中越沖,37.63333333333333,137.605,19,1.3,-
2025/02/11 00:06:31.3,宮城県沖,38.55833333333333,141.69833333333332,54,2.3,-
2025/02/11 00:07:53.5,沖縄本島近海,26.81,127.24,11,1.6,-
2025/02/11 00:15:32.5,愛媛県東予,34.04,133.045,13,0.3,-
2025/02/11 00:18:33.1,茨城県沖,36.54,141.15833333333333,37,1.7,-
2025/02/11 00:20:53.4,石垣島近海,24.976666666666667,123.645,30,1.1,-
2025/02/11 00:21:32.9,長野県北部,36.595,137.77833333333334,4,-10.1,-
2025/02/11 00:21:48.4,茨城県南部,36.18333333333333,140.075,66,0.6,-
2025/02/11 00:21:57.0,有明海,32.72833333333333,130.61166666666668,13,0,-
2025/02/11 00:22:59.7,埼玉県南部,35.93333333333333,139.515,37,0.4,-
2025/02/11 00:26:56.6,宮崎県南部山沿い,32.04666666666667,130.89833333333334,9,0.1,-
2025/02/11 00:32:38.6,岩手県沖,39.971666666666664,142.08,9,0.6,-
2025/02/11 00:33:32.6,栃木県北部,36.638333333333335,139.46333333333334,10,0.5,-
2025/02/11 00:35:29.3,福島県沖,37.42166666666667,141.77333333333334,52,0.9,-
2025/02/11 00:39:38.2,福島県沖,37.788333333333334,142.34333333333333,25,0.9,-
2025/02/11 00:42:55.3,福島県会津,36.975,139.39,5,0.8,-
2025/02/11 00:44:08.1,茨城県沖,36.495,141.00833333333333,41,0.7,-
2025/02/11 00:47:14.5,沖縄本島近海,26.82,127.25333333333333,12,1.6,-
2025/02/11 00:48:22.8,熊本県天草・芦北地方,32.32,130.465,10,0.3,-
2025/02/11 00:48:43.9,石川県能登地方,37.233333333333334,136.74833333333333,10,0.4,-
2025/02/11 00:50:26.8,和歌山県北部,34.208333333333336,135.31833333333333,5,0.5,-
2025/02/11 00:52:23.9,種子島南東沖,30.111666666666668,132.01833333333335,61,-1,-
2025/02/11 00:52:53.8,福島県沖,37.82333333333333,141.60666666666665,49,0.8,-
2025/02/11 00:55:54.7,大隅半島東方沖,31.54,131.47666666666666,41,0.4,-
2025/02/11 00:56:20.2,宮城県沖,38.31166666666667,142.14333333333335,36,0.8,-
2025/02/11 00:56:28.2,兵庫県南東部,35.04333333333334,134.98666666666668,11,1.3,-
2025/02/11 01:01:05.1,和歌山県北部,34.075,135.18833333333333,6,0.1,-
2025/02/11 01:03:21.1,長野県南部,35.9,137.65333333333334,7,-1,-
2025/02/11 01:03:30.1,石川県西方沖,37.04333333333334,136.405,11,1.4,-
2025/02/11 01:05:30.8,東京都２３区,35.57833333333333,139.69666666666666,70,0.7,-
2025/02/11 01:08:55.6,沖縄本島近海,26.825,127.25166666666667,10,1.7,-
2025/02/11 01:09:55.6,岩手県沖,39.635,142.12,46,0.7,-
2025/02/11 01:10:52.1,神奈川県西部,35.223333333333336,139.015,4,-1,-
2025/02/11 01:10:56.1,神奈川県西部,35.223333333333336,139.01,4,0.1,-
2025/02/11 01:11:12.6,福島県沖,37.84,141.615,49,1.1,-
2025/02/11 01:11:50.6,静岡県東部,35.208333333333336,138.99166666666667,6,0,-
2025/02/11 01:11:59.0,神奈川県西部,35.22833333333333,139.01333333333332,3,-10.1,-
2025/02/11 01:13:25.9,神奈川県西部,35.211666666666666,139.00833333333333,5,-10.6,-
2025/02/11 01:13:39.1,神奈川県西部,35.236666666666665,138.99333333333334,12,0.1,-
